"id";"lettre";"mot";"enonce";"interp";"regle"
"28";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream purified by ablutions after state impurity,   ";"announces that it could mean a good outcome. ";
"29";"A";"Ablutions, Great ablutions (Ightissal) ";"The woman, who sees herself in dream cleansing herself by ablutions after menstruation, and wears her clothes,   ";"announces that it could mean good faith and benefits.";
"30";"A";"Ablutions, Great ablutions (Ightissal) ";"The woman, who sees herself in dream cleansing herself by ablutions after defilement and wearing her clothes,   ";"announces that it could mean happy outcome after difficulties.";
"31";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream purified by ablutions in the rain after state impurity,   ";"announces that it could mean healing for the sick that would suffer in his eyes.";
"32";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream washing himself by water,   ";"announces that it could mean healing in case of illness.";
"33";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream washing himself in a stream,   ";"announces that it could mean payment of debts, compensation and retrieving something that would have been stolen.";
"34";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream washing himself and wearing new clothes,   ";"announces that it could mean power to that who would have been sacked as well as  fortune, freedom, healing, prosperity, pilgrimage, happy issue and payment of debts.";
"35";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream using rainwater to purify himself before a prayer,   ";"announces that it could mean recovery and consolidation of sight (eyes).";
"36";"A";"Ablutions, Great ablutions (Ightissal) ";"The woman, who sees herself in dream cleansing herself by ablutions because of menstruating,   ";"announces that it could mean repentance and happy outcome for the girl. It could mean also repentance further to the fulfillment of a bad act or sin. This dream could mean also the shaving of the hairs of the pubis. ";
"37";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream descending stairs in order to wash his body,   ";"announces that it could mean repentance in case he would be unjust but healthy.";
"38";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream washing himself by cold water,   ";"announces that it could mean repentance, healing, freedom, payment of debts and security.";
"39";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself washing himself with water of the sea,   ";"announces that it could mean repentance.";
"40";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream washing himself and wearing dilapidated clothes,   ";"announces that it could mean the dissipation of trouble. However, he could become poorer.";
"41";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream washing his body,   ";"announces that it could mean the fulfillment of a wish, the dissipation of trouble and repentance.";
"42";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream not able to achieve washing his body,   ";"announces that it could mean the non-fulfillment of a desire or non-completion of an affair.";
"43";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream missing to wash his body,   ";"announces that it could mean trouble.";
"44";"A";"Abraham peace upon him ";"See in a dream Abraham peace upon him,   ";"announces that it could be a pilgrimage, a pious wife and benefits from Allah the Almighty. It could also mean a suffering caused by a despot before defeat later. This dream could also announce the disobedience to the father.";
"45";"A";"Abraham peace upon him ";"The woman, who sees in dream Abraham peace upon him,   ";"announces that it could mean grief and trouble with her ??husband because of one of the children, or that the children would suffer an ordeal but with a favorable outcome thereafter.";
"46";"A";"Abscesses ";"See oneself in dream abscesses on his body,   ";"announces that it could mean a fortune depending on the amount of pus contained in the abscess.";
"47";"A";"Abu Bakr, may Allah be pleased with him ";"See in a dream Abu Bakr alive, may Allah be pleased with him,   ";"announces that it could mean pity. Also, the dreamer would be merciful to people.";
"48";"A";"Abyss ";"See oneself in dream walking down stairs towards an abyss,   ";"announces that it could mean a misfortune. This for that who would be healthy, a despot or a disbeliever.";
"49";"A";"Abyss ";"See oneself in dream walking into an abyss or chasm,   ";"announces that it could mean discomfort that he would plead with Allah The Almighty to have a favorable outcome.";
"50";"A";"Acidity of teeth ";"See in dream that his teeth are set on edge by an acid,   ";"announces that he could be disappointed by his relatives. ";
"51";"A";"Adam peace upon him ";"See in a dream Adam peace upon him talking to him,   ";"announces that he could acquire his knowledge. Indeed, Allah the Almighty said «And He taught Adam the names of all things; then He placed them before the angels, and said: ‘’Tell Me the names of these if ye are right. », (Al-Baqara, 31).";
"52";"A";"Adam peace upon him ";"See in a dream Adam peace upon him in his normal appearance,   ";"announces that it could mean a great power for the one who is worthy. Indeed, Allah the Almighty said ‘’Behold, thy Lord said to the angels: ‘’I will create a vicegerent on earth.’’ They said: ‘’Wilt Thou place therein one who will make mischief therein and shed blood? Whilst we do celebrate Thy praise and glorify Thy holy (name)?’’ He said: “I know what ye know not.’’, (Al-Baqara, 30). It could also mean that he would be temporarily deceived by the words of some enemies.";
"53";"A";"Adam peace upon him ";"See in a dream Adam peace upon him with a change in his appearance and shape,   ";"announces that it could mean a trip or a move, and then return to the starting point.";
"54";"A";"Adobe ";"See oneself in dream shaping adobes and collect them,   ";"announces that it could mean a fortune.";
"55";"A";"Adobe ";"See oneself in dream building a house of adobe in a known location and that this dwelling is not his one,   ";"announces that it could mean a legitimate fortune. This is in case there would be no sick person at his home.";
"56";"A";"Adobe ";"See oneself in building a house of adobe in an unknown place and this house is not for him,   ";"announces that it could mean an act which he would be rewarded in the afterlife. This is in case there would be no sick person at home.  ";
"57";"A";"Adobe ";"See oneself in dream transforming the clay to have adobe and use it noting that the adobe has become dry,   ";"announces that it could mean fortune with after difficulty, trouble and hassle.";
"58";"A";"Adobe ";"See oneself in dream transforming the clay to have adobe and use it noting that the adobe has become in the appearance of soil,   ";"announces that it could mean fortune with after difficulty, trouble and hassle.";
"59";"A";"Adobe ";"See oneself in dream transforming the clay to have adobe and use it,   ";"announces that it could mean trouble or hassle.";
"60";"A";"Adulation  ";"See oneself in dream adulating  a person for things of this world,   ";"announces that it could be a bad dream.";
"61";"A";"Adulation  ";"See oneself in dream adulating a person to take advantage of his knowledge,   ";"announces that it could mean honor, good faith and satisfaction of desires.";
"62";"A";"Adulation  ";"See oneself in dream adulating a person to get support to do good deeds,   ";"announces that it could mean honor, good faith and satisfaction of desires.";
"63";"A";"Agate ";"See oneself in dream wearing a ring of agate,   ";"announces that it could mean benefits and appropriating a blessed thing.";
"64";"A";"Aicha may Allah be pleased with her ";"The woman, who sees in dream Aïcha, may Allah be pleased with her,   ";"announces that she would be swamped with benefactions, a high rank, a good reputation and consideration by her relatives.";
"65";"A";"Air ";"See oneself in dream trying to build in the air a green building,   ";"announces that he could mean the approach of his death or that of a loved one. It could mean a death in martyrdom.";
"66";"A";"Air ";"See oneself in dream sitting in the air,   ";"announces that he might be concerned about his passions and pleasures, and could risk perish accordingly. It might be heresy, risk of peril or weakening of faith for someone who is in relation to a disbeliever Sultan, danger when traveling by sea as well as the risk of dying in case of illness. This depending on what he is doing in the air and his concerns in wakeful state.";
"67";"A";"Air ";"see oneself in dream standing in the air,   ";"announces that he might be concerned about his passions and pleasures, and could risk perish accordingly. It might be heresy, risk of peril or weakening of faith for someone who is in relation to a disbeliever Sultan, danger when traveling by sea as well as the risk of dying in case of illness. This depending on what he is doing in the air and his concerns in wakeful state.";
"68";"A";"Air ";"See oneself in dream walking in the air,   ";"announces that he might be concerned about his passions and pleasures, and could risk perish accordingly. It might be heresy, risk of peril or weakening of faith for someone who is in relation to a disbeliever Sultan, danger when traveling by sea as well as the risk of dying in case of illness. This depending on what he is doing in the air and his concerns in wakeful state.";
"69";"A";"Air ";"See oneself in dream swimming in space,   ";"announces that it could mean a fortune or a trip with a man of power or under his protection.";
"70";"A";"Air ";"See oneself in dream having several green dome built between the sky and the earth,   ";"announces that it could mean consolidation of the faith or martyrdom.";
"71";"A";"Air ";"See oneself in dream being in the air and then fall down,   ";"announces that it could mean impediments and misfortune especially if he dies after falling. He could also be concerned about bad acts and deeds. Indeed, Allah The Almighty said “Being true in faith to Allah, and never assigning partners to Him: if anyone assigns partners to Allah, he is as if he had fallen from heaven and been snatched up by birds, or the wind had swooped (like a bird on its prey) and thrown him into a far-distant place.”, (Al-Hajj, 31).";
"72";"A";"Air ";"See oneself in dream administering in space,   ";"announces that it could mean power, authority and a profession as judge or Mufti. This is for the one who is worthy. Otherwise, he could engage in astrology.";
"73";"A";"Air ";"See oneself in dream installing a marquee in the space,   ";"announces that it could mean the approach of death for the sick (himself or a relative). The green marquee could mean the martyrdom. This dream also could mean dismissal, death or loss of power for the sultan, prince and ruler. One who has just concluded a marriage would be very suspicious of his wife. One, who would travel by sea, might see his ship crashing, being arrested or die following an assault by enemies. It could mean also an act not in conformity with religion if the marquee was built without foundations and bases.";
"74";"A";"Air ";"See oneself in dream constructing a canopy in the air,   ";"announces that it could mean the approach of death of himself or a relative who would be sick. If the canopy is green it means martyr. It could also mean death or loss of power for the sovereign or governor. One who has just concluded a marriage would be very suspicious of his wife, while who would travel by sea, might see his ship crashed, being arrested or die following an assault by enemies. It could also mean an act not in conformity with religion if the pavilion was built without foundations and bases.";
"75";"A";"Air ";"See oneself in dream ride a wheel in the air,   ";"announces that it could mean the approach of his death he or any other person who is sick in his house, the dismissal or loss of power following the death or other reason for the governor, the anxiety for the recently married, as well as the risk of dying when traveling especially by sea. He could also have committed an illegal or corrupted act without observing the Sunnah.";
"76";"A";"Air ";"See oneself in dream trying to build a building in the air,   ";"announces that it could mean the approach of his death or that of a loved one. It could mean also the dismissal to the sovereign and governor, the concern for those who just got married or a misfortune for those who would travel by sea. It could mean also an act not in conformity with the Sunnah if he would not have built foundations for this building.";
"77";"A";"Air ";"See in dream a human corpse moving in space,   ";"announces that it could mean the death of an important person.";
"78";"A";"Air ";"See oneself in dream riding a mount in the air,   ";"announces that it could mean the fulfillment of a corrupted and improper act, the approach of death for the sick, the dismissal or death for the sovereign, the prince and governor, the mistrust towards the wife for those who just concluded a marriage and a misfortune for travelers by sea.";
"79";"A";"Air ";"See in dream a mountain rising  into the air above people,   ";"announces that people might be frightened by the king.";
"80";"A";"Al Khader peace upon him ";"See in dream Al Khader peace upon hi,   ";"announces that it could mean fertility and prosperity after a period of drought and tranquility after a period of insecurity.";
"81";"A";"Alert ";"See oneself in dream hearing a voice telling  him an alert or a warning,   ";"announces that it could be a real order in case it would be consistent to the Holy Qur’an and the Sunnah and not to incite to debauchery and sin.";
"82";"A";"Alert ";"The woman, who sees herself in dream hearing a voice alerting her,   ";"announces that it could mean a truthful alert if it complies with the religious rules.";
"83";"A";"Ali ibn Abi Taleb may Allah be pleased with him ";"See in dream Ali ibn Abi Taleb may Allah be pleased with him,   ";"announces that it could mean knowledge, courage, and asceticism.";
"84";"A";"Allah The Almighty ";"See oneself in dream honored by Allah The Almighty,   ";"announces he would be honored too in the afterlife.";
"85";"A";"Allah The Almighty ";"See oneself in dream having pennies (fils) containing an engraving name of Allah The Almighty,   ";"announces that he be attached to poetry instead of listening to recitations of the Holy Quran.";
"86";"A";"Allah The Almighty ";"See oneself in dream counting dinars which contain The Name of Allah The Almighty,   ";"announces that he could acquire knowledge.";
"87";"A";"Allah The Almighty ";"See oneself in dream affected by a Satanic suggestion when he is taken by the remembrance of Allah The Almighty,   ";"announces that he could have many enemies but they would be unable to defeat him. Indeed, Allah The Almighty said «Those who fear Allah, when a thought of evil from Satan assaults them, bring Allah to remembrance, when lo! They see (aright)!» (Al-Araf, 201).";
"88";"A";"Allah The Almighty ";"See oneself in dream drawn near to Allah The Almighty,   ";"announces that he could meet Him in the same circumstances in the afterlife.";
"89";"A";"Allah The Almighty ";"See in dream that Allah The Almighty has forgiven him,   ";"announces that he could meet Him in the same circumstances in the afterlife. ";
"90";"A";"Allah The Almighty ";"See in dream Allah The Almighty promising him His Clemency,   ";"announces that he could meet Him in the same circumstances in the afterlife. However, he could suffer hard ordeals throughout his life.";
"91";"A";"Allah The Almighty ";"See in dream Allah The Almighty promising him His Forgiveness,   ";"announces that he could meet Him in the same circumstances in the afterlife. However, he could suffer hard ordeals throughout his life.";
"92";"A";"Allah The Almighty ";"See oneself in dream fleeing on a beast to escape Allah The Almighty,   ";"announces that he could risk perishing.";
"93";"A";"Allah The Almighty ";"See oneself in dream fleeing on foot to escape to Allah The Almighty,   ";"announces that he could risk perishing.";
"94";"A";"Allah The Almighty ";"See oneself in dream scolded by Allah The Almighty,   ";"announces that he should rapidly abandon a behavior not pleasing to The Almighty. Indeed, Allah The Almighty said « Allah commands justice, the doing of good, and liberality to kith and kin, and He forbids all shameful deeds, and injustice and rebellion: He instructs you, that ye may receive admonition. » (An-Nahl, 90).";
"95";"A";"Allah The Almighty ";"See oneself in dream about to be judged by Allah The Almighty,   ";"announces that he would be inattentive and away from the right path. Indeed Allah The Almighty said “Closer and closer to mankind comes their Reckoning: yet they heed not and they turn away.”, (Al-Anbiaa, 1).";
"96";"A";"Allah The Almighty ";"See in dream Allah The Almighty calling him for account and that his good acts outweigh the bad,   ";"announces that he would be very obedient to The Almighty, and he deserves a substantial reward. It could be also good news and there is reason to persevere.";
"97";"A";"Allah The Almighty ";"See oneself in dream receiving good news from Allah The Almighty,   ";"announces that he would meet Him in the same circumstances in the afterlife.";
"98";"A";"Allah The Almighty ";"See in dream Allah The Almighty calling him for account,   ";"announces that he would meet Him in the same circumstances in the afterlife.";
"99";"A";"Allah The Almighty ";"See in dream Allah The Almighty, or feel that he is in His Presence,   ";"announces that he would meet him in the same circumstances in the afterlife.";
"100";"A";"Allah The Almighty ";"See in dream that Allah The Almighty is angry against him,   ";"announces that his parents could be irritated against him following an unpleasant act.";
"101";"A";"Allah The Almighty ";"See oneself in dream receiving of Allah The Almighty a silver ring,   ";"announces that it could be a good outcome for the pious.";
"102";"A";"Allah The Almighty ";"See in dream Allah The Almighty calling him for account and that his bad acts outweigh the good,   ";"announces that it could have a bad outcome and it would be useful to change his behavior and renounce evil deeds not pleasing to The Almighty. It could be a warning to take seriously.";
"103";"A";"Allah The Almighty ";"The woman, who sees herself in dream looking at the Throne of Allah The Almighty;,   ";"announces that it could involve good rank and position for the woman liking science and knowledge, good reputation because of a praiseworthy behavior, a journey for the woman who is accustomed, the purchase of a house or a mount, the good outcome and the childbirth of a boy for the pregnant woman. It could involve also the approach of the death in case of disease. ";
"104";"A";"Allah The Almighty ";"See in dream that Allah The Almighty is furious against him,   ";"announces that it could mean a disaster and he could fall from a very high place. Indeed, Allah The Almighty said «(Saying): ‘’Eat of the good things We have provided for your sustenance, but commit no excess therein, lest My Wrath should justly descend on you and those on whom descends My Wrath do perish indeed! », (Ta-Ha, 81).";
"105";"A";"Allah The Almighty ";"See oneself in dream lying down on his back, praising Allah The Almighty,   ";"announces that it could mean a good outcome after trouble and sorrow.";
"106";"A";"Allah The Almighty ";"See oneself in dream saying ""Laa ilaha illa Allah"" (There is no god but Allah),   ";"announces that it could mean a happy outcome, dissipation of trouble and sorrow, as well as the death as a martyr.";
"107";"A";"Allah The Almighty ";"See in dream Allah The Almighty calling him by a name other than his own,   ";"announces that it could mean a high rank as well as a victory over the enemies.";
"108";"A";"Allah The Almighty ";"See in dream Allah The Almighty calling him by his own name,   ";"announces that it could mean a high rank as well as a victory over the enemies.";
"109";"A";"Allah The Almighty ";"See oneself in dream inventing lies and attribute them to Allah The Almighty,   ";"announces that it could mean a lack of wisdom. Indeed, Allah The Almighty said «It was not Allah who instituted (superstitions like those of) a slit-ear she-camel, or a she-camel let loose for free pasture, or idol sacrifices for twin births in animals, or stallion camels freed from work; it is blasphemers who invent a lie against Allah; but most of them lack wisdom. », (Al-Maidah, 103).";
"110";"A";"Allah The Almighty ";"See in dream Allah The Almighty submitting him to a severe judgment,   ";"announces that it could mean a loss. Indeed Allah The Almighty said “How many populations that insolently opposed the command of their Lord and of His Messengers, did We not then call to account, - to severe account? - And We imposed on them an exemplary Punishment.”, (At-Talaq, 8).";
"111";"A";"Allah The Almighty ";"See in dream Allah The Almighty submitting him to an easy judgment,   ";"announces that it could mean a pious and compassionate wife.";
"112";"A";"Allah The Almighty ";"See oneself in dream receiving of Allah The Almighty a thing of this world,   ";"announces that it could mean an ordeal followed by His Grace.";
"113";"A";"Allah The Almighty ";"See oneself in dream saying ""Subhana Allah"",   ";"announces that it could mean an unexpected happy outcome.";
"114";"A";"Allah The Almighty ";"See oneself in dream invoking Allah The Almighty,   ";"announces that it could mean benefits and happiness.";
"115";"A";"Allah The Almighty ";"See oneself in dream worshiping Allah The Almighty,   ";"announces that it could mean benefits and joy.";
"116";"A";"Allah The Almighty ";"See oneself in dream watching the Throne of Allah The Almighty,   ";"announces that it could mean benefits as well as grace.";
"117";"A";"Allah The Almighty ";"See oneself in dream receiving the Clemency of the Allah The Almighty,   ";"announces that it could mean benefits. Indeed, Allah The Almighty said ”When there comes to them some matter touching (public) safety or fear, they divulge it. If they had only referred it to the Messenger or to those charged with authority among them, the proper investigators would have tested it from them (direct). Were it not for the Grace and Mercy of Allah unto you, all but a few of you would have followed Satan.”, (An-Nissaa, 83).";
"118";"A";"Allah The Almighty ";"See oneself in dream invoking The Almighty using a familiar phrase,   ";"announces that it could mean fulfillment of a mandatory prayer.";
"119";"A";"Allah The Almighty ";"See oneself in dream counting dirhams which contain The Name of Allah The Almighty,   ";"announces that it could mean glorification of The Almighty.";
"120";"A";"Allah The Almighty ";"See oneself in dream in front of Allah The Almighty Who watches him,   ";"announces that it could mean grace to the righteous. Otherwise, it could be a warning and he should be careful. Indeed Allah The Almighty said «A Day when (all) mankind will stand before the Lord of the Worlds?» (Al-Motaffifine, 6).";
"121";"A";"Allah The Almighty ";"See oneself in dream invoking Allah The Almighty in a dark place,   ";"announces that it could mean happy outcome as well as dissipation of sorrows. Indeed, Allah The Almighty said «And remember Zul-nun, when he departed in wrath: he imagined that We had no power over him! But he cried through the depths of darkness, ‘’There is no god but Thou: glory to Thee: I was indeed wrong!’’ », (Al-Anbiya, 87).";
"122";"A";"Allah The Almighty ";"See oneself in dream invoking Allah The Almighty using an expression does not include the Name of Allah The Almighty,   ";"announces that it could mean hypocrisy in his prayers.";
"123";"A";"Allah The Almighty ";"See oneself in dream forgetting to glorify Allah The Almighty,   ";"announces that it could mean imprisonment and sorrows. Indeed, Allah The Almighty said « Had it not been that he (repented and) glorified Allah, He would certainly have remained inside the Fish till the Day of Resurrection.» (As-Saffat, 143-144 ).";
"124";"A";"Allah The Almighty ";"See oneself in dream praising Allah The Almighty,   ";"announces that it could mean perseverance on the good way as well as offspring (may be a boy). Indeed, Allah The Almighty said «’’Praise be to Allah. Who hath granted unto me in old age Isma’il and Ishaq: for truly my Lord is He, the Hearer of Prayer! » (Ibrahim, 39). It could also mean benefit and happiness.";
"125";"A";"Allah The Almighty ";"See oneself in dream thanking Allah The Almighty,   ";"announces that it could mean power, benefits as well as the reign on a thriving community in case he would be a man of power. Indeed, Allah The Almighty said « There was, for Saba’, aforetime, a Sign in their homeland - two Gardens to the right and to the left - Eat of the Sustenance (provided) by your Lord, and be grateful to Him: a territory fair and happy, and a Lord Oft-Forgiving!», (Saba, 15).";
"126";"A";"Allah The Almighty ";"See oneself in dream prostrating before Allah The Almighty,   ";"announces that it could mean reconciliation and love with people. Indeed Allah The Almighty said « Nay, heed him not: but bow down in adoration, and bring thyself the closer (to Allah)!» (Al-Alaq, 19).";
"127";"A";"Allah The Almighty ";"See oneself in dream addressing Silent supplication to Allah The Almighty,   ";"announces that it could mean reconciliation and love with people. Indeed, Allah The Almighty said « And We called him from the right side of Mount (Sinai), and made him draw near to Us for mystic (converse).», (Maryam, 52).";
"128";"A";"Allah The Almighty ";"See oneself in a dream wearing a dress given by Allah The Almighty,   ";"announces that it could mean sorrows and illness throughout life, and he would be obedient and grateful to Him.";
"129";"A";"Allah The Almighty ";"See oneself in dream talking to Allah The Almighty through a veil,   ";"announces that it could mean strengthening of faith and power as well as the return of a deposit to the owner.";
"130";"A";"Allah The Almighty ";"See oneself in dream invoking Allah The Almighty using a beautiful expression,   ";"announces that it could mean strengthening of faith.";
"131";"A";"Allah The Almighty ";"See oneself in dream in front of Allah The Almighty in the Day of Resurrection,   ";"announces that it could mean the approach of the reign of justice and prosperity.";
"132";"A";"Allah The Almighty ";"See oneself in dream insulting Allah The Almighty,   ";"announces that it could mean the non recognition of the benefits that he is filled by The Almighty as well as the non-acceptance of His decisions.";
"133";"A";"Allah The Almighty ";"See oneself in dream in front of Allah The Almighty in a known location,   ";"announces that it could mean the reign of justice, prosperity, victory of oppressed and defeat of despots in this place.";
"134";"A";"Allah The Almighty ";"See oneself in dream prostrating before Allah The Almighty on a mountain,   ";"announces that it could mean victory over a powerful man.";
"135";"A";"Allah The Almighty ";"See oneself in dream saying ""Allah Akbar"" (Allah is Great),   ";"announces that it could mean victory over enemies as well as the fulfillment of desires.";
"136";"A";"Allah The Almighty ";"See oneself in dream constantly engaging much in the remembrance of Allah The Almighty,   ";"announces that it could mean victory. Indeed, Allah The Almighty said «Except those who believe, work righteousness, engage much in the remembrance of Allah, and defend themselves only after they are unjustly attacked. And soon will the unjust assailants know what vicissitudes their affairs will take! », (Ach-Chooara, 227).";
"137";"A";"Allah The Almighty ";"See oneself in dream talking to Allah The Almighty directly without veil,   ";"announces that it could mean weakening of faith. Indeed, Allah The Almighty said «It is not fitting for a man that Allah should speak to him except by inspiration, or from behind a veil, or by the sending of a Messenger to reveal, with Allah’s permission, what Allah wills: for He is Most High, Most Wise. », (Achouraa, 51).";
"138";"A";"Allah The Almighty ";"See n dream a polytheist thanking Allah The Almighty,   ";"announces that this person could convert to Islam.";
"139";"A";"Allegiance ";"See oneself in dream pledging allegiance a perverse man,   ";"announces that it could encourage perverse people.";
"140";"A";"Allegiance ";"See oneself in dream pledging allegiance next to a tree,   ";"announces that it could mean a licit fortune. Indeed, Allah The Almighty said “Allah’s Good Pleasure was on the Believers when they swore Fealty to thee under the Tree: He knew what was in their hearts, and He sent down Tranquillity to them; and He rewarded them with a speedy Victory;”, (Al-Fath, 18).";
"141";"A";"Allegiance ";"See oneself in dream pledging allegiance to a family member of the Messenger of Allah upon him blessings and peace,   ";"announces that it could mean the perseverance on the right path and compliance with the rules and obligations of Islam.";
"142";"A";"Allegiance ";"See oneself in dream pledging allegiance to a prince of war,   ";"announces that it could mean victory over enemies, perseverance in the worship of the Most High and the incentive for people to follow the right path. Indeed, Allah The Almighty said “Allah hath purchased of the Believers their persons and their goods; for theirs (in return) is the Garden (of Paradise): they fight in His Cause, and slay and are slain: a promise binding on Him in Truth, through the Law, the Gospel, and the Qur-an: and who is more faithful to his Covenant than Allah? Then rejoice in the bargain which ye have concluded: that is the achievement supreme. Those that turn (to Allah) in repentance; that serve Him, and praise Him; that wander in devotion to the Cause of Allah; that bow down and prostrate themselves in prayer; that enjoin good and forbid evil; and observe the limits set by Allah; (these do rejoice). So proclaim the glad tidings to the Believers.”, (At-Taowba, 111-112).";
"143";"A";"Almond ";"See oneself in dream picking almonds from an almond tree,   ";"announces that it could mean a fortune from a stingy man.";
"144";"A";"Almond ";"See in dream people throwing at him the barks of almonds,   ";"announces that it could mean clothing.";
"145";"A";"Almond ";"See oneself in dream eating almonds,   ";"announces that it could mean fortune and disputes.";
"146";"A";"Almond ";"See oneself in dream having almonds of bad taste,   ";"announces that it could mean truthful words.";
"147";"A";"Almond  ";"The woman, who sees in dream the barks of almond or other,   ";"announces that it could involve the purchase of clothes. It could also involve abortion in case of pregnancy.  ";
"148";"A";"Almond  ";"See oneself in dream having tasteful almonds,   ";"announces that it could mean consolidation of faith.";
"149";"A";"Alms ";"See oneself in dream stealing a dirham and give it as alms,   ";"announces that he might have to tell things he would not have heard.";
"150";"A";"Alms ";"See oneself in dream giving dirhams as voluntary alms,   ";"announces that it could mean a reward for him after harm that he allegedly suffered because of people to whom he gave these dirhams in the dream.";
"151";"A";"Alms ";"See oneself in dream giving dinars as voluntary alms,   ";"announces that it could mean a reward for him after harm that he allegedly suffered because of people to whom he gave these dirhams in the dream.";
"152";"A";"Alms ";"See oneself in dream giving alms to someone,   ";"announces that it could mean sharing knowledge for the scientist, more authority and power for the governor, good company for the trader and training employees for the craftsman.";
"153";"A";"Alms ";"See oneself in dream giving as voluntary alms something unknown,   ";"announces that it could mean, for the poor, a commendable effort as a voluntary prayer or visiting cemeteries and Allah The Almighty. For the wealthy, this dream could mean an act of virtue as an advice, a charity, an order not to commit the unlawful, teaching of the Holy Kuran or conducting prayer for a group of people.";
