"id","lettre","mot","enonce","interp","regle"
"44","A","Abreuvage, arrosage ","Se voir en rêve abreuver des chameaux de l’eau d’un ancien puits,  ","annonce qu’il pourrait s’agir d’accomplissement de bons actes.",
"45","A","Abreuvage, arrosage ","Se voir en rêve abreuver des gens de l’eau d’un ancien puits,  ","annonce qu’il pourrait s’agir d’accomplissement de bons actes.",
"46","A","Abreuvage, arrosage ","Se voir en rêve abreuver des bêtes de l’eau d’un ancien puits,  ","annonce qu’il pourrait s’agir d’accomplissement de bons actes.",
"47","A","Abreuvage, arrosage ","Se voir en rêve creuser un puits pour arroser son verger,  ","annonce qu’il pourrait s’agir du recours à un médicament pour consolider sa virilité et pouvoir avoir des rapports sexuels avec son épouse.   ",
"48","A","Abreuvage, arrosage ","Se voir en rêve prendre de l’eau d’un ancien puits à l’aide d’un seau pour abreuver des animaux,  ","annonce qu’il pourrait s’agir d’hypocrisie.",
"49","A","Abreuvage, arrosage ","Se voir en rêve prendre de l’eau d’un puits à l’aide d’un seau pour arroser son verger,  ","annonce qu’il pourrait engager une fortune pour disposer d’une femme.",
"50","A","Abreuvage, arrosage ","Se voir en rêve prendre de l’eau d’un puits à l’aide d’un seau pour arroser son verger et que ce dernier a donné des fruits,  ","annonce qu’il pourrait engager une fortune pour disposer d’une femme avec qui il pourrait avoir un enfant.",
"51","A","Abreuvage, arrosage ","Se voir en rêve prendre de l’eau d’une mer,  ","annonce qu’il pourrait arriver à décrocher un emploi ou satisfaire un désir auprès du souverain.",
"52","A","Abreuvage, arrosage ","Se voir en rêve dans un verger et observer un servant l’arroser de l’eau d’un puits d’un autre verger,  ","annonce qu’un homme pourrait le tromper avec son épouse ou sa servante.",
"53","A","Abreuvage, arrosage ","Se voir en rêve arroser son verger,  ","annonce qu’il coucherait avec son épouse.",
"54","A","Abreuvage, arrosage ","Se voir en rêve prendre de l’eau et la verser dans une grande jarre,  ","annonce qu’il pourrait s’agir d’une fortune qu’il déposerait chez une femme.",
"55","A","Abreuvage, arrosage ","Voir en rêve un ruisseau couler vers son verger et que ce dernier a été bien arrosé,  ","annonce qu’il pourrait s’agir de rapports sexuels avec une épouse ou servante ainsi qu’une grossesse en conséquence.",
"56","A","Abreuvage, arrosage ","Voir en rêve un ruisseau couler vers son verger et que des plantes y ont poussé,  ","annonce qu’il pourrait s’agir de rapports sexuels avec une épouse ou servante ainsi qu’une grossesse en conséquence.",
"57","A","Abreuvage, arrosage ","Voir en rêve un ruisseau couler vers sa ferme et que cette dernière a été bien arrosée,  ","annonce qu’il pourrait s’agir de rapports sexuels avec une épouse ou servante ainsi qu’une grossesse en conséquence.",
"58","A","Abreuvage, arrosage ","Se voir en rêve donner à boire aux gens tout en se montrant modeste, serviable et ne rien demander en contrepartie,  ","annonce qu’il pourrait s’agir de très bons actes.",
"59","A","Abreuvage, arrosage ","Se voir en rêve prendre l’eau et irriguer son verger,  ","annonce qu’il pourrait bénéficier d’une fortune de la part d’une femme.",
"60","A","Abreuvage, arrosage ","Se voir prendre de l’eau et irriguer son verger et que ce dernier a donné des fruits,  ","annonce qu’il pourrait s’agir de fortune et progéniture de la part d’une femme.",
"61","A","Abreuvage, arrosage ","Se voir en rêve irriguer son verger,  ","annonce qu’il pourrait copuler  son épouse.",
"62","A","Abreuvage, arrosage ","Se voir en rêve prendre l’eau et irriguer  un terrain labouré,  ","annonce qu’il pourrait bénéficier d’une fortune de la part d’une femme.",
"63","A","Abreuvage, arrosage ","Se voir prendre de l’eau et irriguer un terrain labouré et que les épis  ont poussé,  ","annonce qu’il pourrait s’agir de fortune et progéniture de la part d’une femme.",
"64","A","Abreuvage, arrosage ","Se voir en rêve irriguer une culture,  ","annonce qu’il pourrait copuler  son épouse.",
"65","A","Abreuvage, arrosage ","Se voir en rêve prendre de l’eau et irriguer un champ labouré,  ","annonce qu’il pourrait avoir une fortune et progéniture avec une femme.",
"66","A","Abreuvage, arrosage ","Se voir en rêve prendre de l’eau à la levée du jour,  ","annonce qu’il pourrait s’agir de délivrance en cas de maladie.",
"67","A","Abreuvage, arrosage ","Se voir en rêve prendre de l’eau avec une poulie pour faire ses ablutions et réussir à les achever,  ","annonce qu’il pourrait s’agir de délivrance après ennuis, chagrins et dettes.",
"68","A","Abreuvage, arrosage ","Se voir en rêve prendre de l’eau avec une poulie pour faire ses ablutions,  ","annonce qu’il pourrait s’appuyer sur un homme pieux.",
"69","A","Abricot ","Voir en rêve le sultan cueillir des abricots d’un pommier,  ","annonce qu’il pourrait donner à ses sujets une fortune non louable.",
"70","A","Abricot ","Se voir en rêve manger des abricots verts,  ","annonce qu’il pourrait s’agir d’aumône ou guérison.",
"71","A","Abricot ","Se voir en rêve manger des abricots jaunes,  ","annonce qu’il pourrait s’agir de dépenses suite à une maladie.",
"72","A","Abricot ","Se voir en rêve cueillir des abricots d’un pommier,  ","annonce qu’il pourrait distribuer une fortune non louable sur ses sujets au cas où il serait un gouvernant.",
"73","A","Abricot ","Se voir cueillir des abricots d’un abricotier et en manger,  ","annonce qu’il pourrait fréquenter un homme fortuné et dont la foi est corrompue.",
"74","A","Abricot ","Se voir en rêve ramasser des abricots près d’un arbre,  ","annonce qu’il pourrait épouser une femme ayant hérité une fortune.",
"75","A","Abu Bakr qu‘Allah l‘agrée ","Voir en rêve Abu Bakr vivant, qu’Allah soit satisfait de lui,  ","annonce qu’il pourrait être anobli par la pitié à l’égard des gens.",
"76","A","Accouchement  ","Celle qui se voit en rêve accoucher d’une fille,  ","annonce qu’il pourrait s’agir de délivrance, liberté en cas d’emprisonnement, acquittement des dettes, fortune en cas de pauvreté ainsi que guérison en cas de maladie. Il pourrait s’agir aussi d’une maladie pour son mari au cas où il serait un souverain ou bien elle va accoucher d‘un garçon en cas de grossesse. Sinon, ce rêve figure ennuis et chagrins.",
"77","A","Accouchement  ","Celle qui se voit en rêve accoucher d’une fille et que cette fille est sortie de sa bouche,  ","annonce qu’il pourrait s’agir de l’approche de sa mort.",
"78","A","Accouchement  ","Celle qui se voit en rêve accoucher d’une fille qui a commencé à lui parler sur le champ,  ","annonce qu’il pourrait s’agir d’accouchement d’un garçon qui va régner dans sa tribu.",
"79","A","Accouchement  ","Celle qui se voit en rêve accoucher d’un œuf,  ","annonce qu’il pourrait s’agir d’accouchement d’un garçon pervers et mécréant. En effet, Allah Le Très-Haut a dit «Dis: ""Qui vous attribue de la nourriture du ciel et de la terre? Qui détient l‘ouïe et la vue, et qui fait sortir le vivant du mort et fait sortir le mort du vivant, et qui administre tout?"", Ils diront: ""Allah"". Dis alors: ""Ne Le craignez-vous donc pas?""», (Younes, 31)",
"80","A","Accouchement  ","Celle qui se voit en rêve accoucher d’un dragon,  ","annonce qu’il pourrait s’agir, pour la femme enceinte, d’accouchement d’un garçon qui serait un conférencier éloquent, voyant, divinateur, méchant libertin ou voleur qui finirait par voir sa tête coupée. Il pourrait s’agir aussi d’un garçon impotent.",
"81","A","Accouchement  ","Celle qui se voit en rêve accoucher d’une bête féroce,  ","annonce qu’il pourrait s’agir de bonheur et sécurité. Il pourrait s’agir aussi de chagrins et peur dans l’endroit vu en rêve.",
"82","A","Accouchement  ","Celle qui se voit en rêve accoucher d’une bête effrayante,  ","annonce qu’il pourrait s’agir de bonheur et sécurité. Il pourrait s’agir aussi de chagrins et peur dans l’endroit vu en rêve.",
"83","A","Accouchement  ","Celle qui se voit en rêve accoucher d’un poisson,  ","annonce qu’il pourrait s’agir d’accouchement d’un garçon au cas où elle serait enceinte. Cependant, il pourrait s’agir d’un garçon qui ne vivrait pas longtemps.",
"84","A","Accouchement  ","Celle qui se voit en rêve accoucher d’un aigle,  ","annonce qu’il pourrait s’agir, pour la femme enceinte, d’accouchement d’un garçon qui serait un soldat, d’un grand pouvoir ou d’un rang élevé dans sa tribu.",
"85","A","Accouchement  ","Celle qui se voit en rêve accoucher à travers sa bouche,  ","annonce qu’il pourrait s’agir de l’approche de sa mort.",
"86","A","Accouchement  ","Celle qui se voit en rêve accoucher d’un garçon,  ","annonce qu’il pourrait s’agir de bienfaits pour son époux au cas où il serait un homme du pouvoir. Pour la femme enceinte, il pourrait s’agir d’un garçon au cas où cette habitude aurait été vérifiée auparavant, sinon, elle accoucherait d’une fille. ",
"87","A","Accouchement  ","Celle qui se voit en rêve accoucher d’un garçon qui lui a parlé sur le champ,  ","annonce qu’il pourrait s’agir de l’approche de sa mort.",
"88","A","Accouchement  ","Voir en rêve que sa servante a accouché d’une fille,  ","annonce qu’il pourrait s’agir de bienfaits.",
"89","A","Accouchement  ","Voir en rêve que sa servante a accouché d’un garçon,  ","annonce qu’il pourrait s’agir d’un grave ennui.",
"90","A","Accouchement  ","Voir en rêve que son épouse a accouché plusieurs bébés,  ","annonce qu’il pourrait s’agir d’ennuis.",
"91","A","Accouchement  ","Voir en rêve que son épouse a accouché d’une fille,  ","annonce qu’il pourrait s’agir de bienfaits.",
"92","A","Accouchement  ","Voir en rêve que son épouse a accouché d’un garçon,  ","annonce qu’il pourrait s’agir d’un grave ennui.",
"93","A","Accouchement  ","Celle qui se voit en rêve accouchée,  ","annonce qu’il pourrait s’agir d’un mauvais rêve en cas de non aboutissement de l’accouchement. Pour la vielle femme et la fillette, ce rêve figure la même chose que pour les menstrues.",
"94","A","Accouchement par animal femelle ","Celle qui voit en rêve une vache accoucher d’un veau,  ","annonce qu’il pourrait s’agir d’un garçon béni au cas où elle serait enceinte. Il pourrait s’agir aussi de chagrins ou d’un comportement déplaisant au Très-Haut.",
"95","A","Accouchement par animal femelle ","Voir en rêve sa mule accoucher,  ","annonce qu’il pourrait s’agir  d’une fortune de la part de son épouse.",
"96","A","Accouchement par animal femelle ","Voir en rêve son ânière accoucher d’un animal bizarre après l’avoir copulée,  ","annonce qu’il pourrait s’agir de grossesse de l’épouse ou de la servante. Toutefois le bébé serait attribué à un autre homme si aucun indicateur dans le rêve ne confirme que c’est le sien.",
"97","A","Accouchement par animal femelle ","Voir en rêve que son ânière a accouché d’un ânon,  ","annonce qu’il pourrait s’agir d’une amélioration dans de sa vie dans l’ici-bas. ",
"98","A","Accouchement par animal femelle ","Voir en rêve une brebis accoucher,  ","annonce qu’il pourrait s’agir de prospérité et aisance.",
"99","A","Acheter ","Se voir en rêve exposé à la vente et être acheté par un homme,  ","annonce qu’il pourrait s’agir  d’ennuis.",
"100","A","Acheter ","Se voir en rêve exposé à la vente et être acheté par une femme,  ","annonce qu’il pourrait s’agir  de dignité, gloire et souveraineté. En effet, Le Très-Haut a dit « Et celui qui l‘acheta était de l‘Egypte. Il dit à sa femme: ""Accorde lui une généreuse hospitalité. Il se peut qu‘il nous soit utile ou que nous l‘adoptions comme notre enfant."" Ainsi avons-nous raffermi Joseph dans le pays et nous lui avons appris l‘interprétation des rêves. Et Allah est souverain en Son Commandement: mais la plupart des gens ne savent pas. », (Yussuf, 21).",
"101","A","Acheter ","Se voir en rêve acheter une charge lourde de neige en plein été,  ","annonce qu’il pourrait s’agir de fortune et délivrance.",
"102","A","Acheter ","Se voir en rêve acheter un bœuf,  ","annonce qu’il pourrait s’agir de flatteries à l’égard des amis et des vertueux. ",
"103","A","Acheter ","Se voir en rêve acheter des habits vétustes,  ","annonce qu’il pourrait s’agir d’appauvrissement.",
"104","A","Acheter ","Se voir en rêve acheter une servante,  ","annonce qu’il pourrait s’agir de bienfaits.",
"105","A","Acheter ","Se voir en rêve acheter un âne contre des dirhams,  ","annonce qu’il pourrait s’agir de bienfaits suite à des propos.",
"106","A","Acheter ","Se voir en rêve acheter du blé,  ","annonce qu’il pourrait s’agir de pouvoir, fortune et progéniture.",
"107","A","Acheter ","Se voir en rêve acheter une bague,  ","annonce qu’il pourrait s’agir de souveraineté et pouvoir pour celui qui en est digne.",
"108","A","Acheter ","Se voir en rêve acheter du pain chez un boulanger sans observer le prix correspondant,  ","annonce qu’il pourrait s’agir de fortune et bonheur.",
"109","A","Acheter ","Se voir en rêve acheter une demeure,  ","annonce qu’il pourrait s’agir de bienfaits.",
"110","A","Acheter ","Se voir en rêve acheter une cage et y mettre une poule,  ","annonce qu’il pourrait acheter une demeure et y installer son épouse.",
"111","A","Acheter ","Se voir en rêve acheter une tête grande et obèse auprès d’un commerçant (de tête d’animaux),  ","annonce qu’il pourrait s’agir d’un travail dur.",
"112","A","Acheter ","Se voir en rêve acheter une tête auprès d’un commerçant (de tête d’animaux),  ","annonce qu’il pourrait solliciter un chef pour un travail ou affaire bénéfiques pour lui.",
"113","A","Acheter ","Se voir en rêve acheter une tête maigre auprès d’un commerçant (de tête d’animaux),  ","annonce qu’il pourrait s’agir d’un maitre ou chef non utile.",
"114","A","Acheter ","Se voir en rêve acheter une meule,  ","annonce qu’il pourrait s’agir du mariage pour le célibataire, de quoi vivre pour le pauvre, le mariage d’une fille ou sœur, disposer d’une servante pour service ou mariage ainsi que le voyage pour celui qui en a l’habitude.",
"115","A","Acheter ","Se voir en rêve acheter un pantalon auprès de quelqu’un qui ne vend pas des vêtements,  ","annonce qu’il pourrait se marier à une femme sans tuteur.",
"116","A","Acheter ","Se voir en rêve subtiliser des biens dans un marché dans des transactions achats et ventes,  ","annonce qu’il pourrait s’approprier du butin au cas où il serait au Jihad, la corruption du pèlerinage, le manque de sérieux et de justice pour le savant ou Mufti. Ce rêve figure aussi que ses prières seraient entachées d’hypocrisie ou bien qu’il n’observerait pas les règles y afférentes notamment les ablutions et le respect de l’Imam dans ses inclinaisons et prosternations.",
"117","A","Acheter ","Se voir en rêve acheter une fille,  ","annonce qu’il pourrait s’agir d’un rêve louable.",
"118","A","Acheter ","Se voir en rêve acheter une servante,  ","annonce qu’il pourrait s’agir d’un rêve louable. Ce rêve figure aussi des bienfaits.",
"119","A","Acheter ","Se voir en rêve acheter une bague,  ","annonce qu’il pourrait s’agir de souveraineté et de pouvoir pour celui qui en serait digne. En effet, les rois et souverains utilisent leurs bagues pour signer leurs messages et sécuriser leur courrier.",
"120","A","Acheter ","Se voir en rêve acheter un garçon,  ","annonce qu’il pourrait s’agir d’ennuis.",
"121","A","Acheter ","Se voir en rêve acheter un esclave,  ","annonce qu’il pourrait s’agir d’un rêve non louable.",
"122","A","Acheter ","Se voir en rêve acheter de l’orge à la levée du jour,  ","annonce qu’il pourrait s’agir de guérison pour le malade.",
"123","A","Acheter ","Se voir en rêve acheter de l’orge auprès d’un marchand de blé,  ","annonce qu’il pourrait s’agir d’importants bienfaits.",
"124","A","Acheter ","Se voir en rêve acheter un morceau de viande grillée,  ","annonce qu’il pourrait disposer des services d’un homme compétent.",
"125","A","Acheter ","Se voir en rêve acheter l’argile jaune,  ","annonce qu’il pourrait s’agir d’une fortune.",
"126","A","Acheter ","Se voir en rêve acheter une servante avec un collier en argent autour de son cou,  ","annonce qu’il pourrait s’agir d’un commerce rentable. Ce rêve figure aussi une femme ou une servante. Ceci en fonction de l’état de la servante vue en rêve.",
"127","A","Acheter ","Se voir en rêve acheter une servante ou femme, et ne pas pouvoir la copuler à cause de son impuissance sexuelle,  ","annonce qu’il pourrait s’agir d’un commerce sans capital et sans endurance.",
"128","A","Acheter ","Se voir en rêve acheter un mouton,  ","annonce qu’un homme noble pourrait avoir besoin de lui pour guérison ou délivrance.",
"129","A","Acheter ","Se voir en rêve acheter plusieurs habits,  ","annonce qu’il pourrait s’agir d’une marchandise invendable au cas où ce rêve aurait été fait pendant l’été. Si c’est en hiver, ce rêve figure prospérité et écoulement des marchandises.",
"130","A","Acheter ","Se voir en rêve acheter un habit,  ","annonce qu’il pourrait s’agir d’une marchandise invendable au cas où ce rêve aurait été fait pendant l’été. Si c’est en hiver, ce rêve figure prospérité et écoulement des marchandises.",
"131","A","Acheter ","Voir en rêve un mort acheter des aliments,  ","annonce que c’est aliment pourrait devenir cher ou rare.",
"132","A","Acheter ","Se voir en rêve acheter une autruche femelle,  ","annonce qu’il pourrait s’agir de bienfaits s’il n’a pas de malade chez lui. Sinon, il pourrait s’agir de l’approche de  la mort de toute personne qui serait malade chez lui.",
"133","A","Acte, Contrat ","Voir en rêve qu’un acte a été établi pour lui,  ","annonce qu’il pourrait s’agir d’une demande pour faire la saignée.",
"134","A","Adam sur lui le salut ","Voir en rêve Adam sur lui le salut, dans son aspect normal,  ","annonce qu’il pourrait s’agir d’un pouvoir important pour celui qui en est digne. En effet, Le Très-Haut a dit «Lorsque Ton Seigneur confia aux Anges: ‘’Je vais établir sur la terre un vicaire ‘’Khalifa’’. Ils dirent: ‘’Vas-Tu y désigner un qui y mettra le désordre et répandra le sang, quand nous sommes là à Te sanctifier et à Te glorifier?’’ - Il dit: ‘’En vérité, Je sais ce que vous ne savez pas!’’.» (Al-Baqara, 30). Il risquerait aussi d’être trompé provisoirement par les propos de certains ennemis.",
"135","A","Adam sur lui le salut ","Voir en rêve Adam, sur lui le salut, avec un changement dans son aspect et son allure,  ","annonce qu’il pourrait s’agir d’un voyage ou déplacement, et le retour enfin au point de départ.",
"136","A","Adam sur lui le salut ","Voir en rêve Adam, sur lui le salut, lui parlant,  ","annonce qu’il pourrait s’agir d’acquisition de son savoir. En effet, Le Très-Haut a dit «Et Il apprit à Adam tous les noms (de toutes choses), puis Il les présenta aux Anges et dit: ‘’Informez-Moi des noms de ceux-là, si vous êtes véridiques!’’ (dans votre prétention que vous êtes plus méritants qu’Adam).» (Al-Baqara-31).",
"137","A","Adieux  ","Se voir en rêve faire ses adieux à son épouse,  ","annonce qu’il pourrait s’agir d’un divorce.",
"138","A","Adoration ","Se voir en rêve adorer une image en considérant que c’est son dieu,  ","annonce qu’il serait un menteur à l’égard d’Allah Le Très-Haut ou engagé dans le mauvais chemin tout en croyant que c’est le bon.",
"139","A","Adoration ","Se voir en rêve adorer une image et il lui a été dit que c’est son dieu,  ","annonce qu’il serait un menteur à l’égard d’Allah Le Très-Haut ou engagé dans le mauvais chemin tout en croyant que c’est le bon.",
"140","A","Adoration ","Se voir en rêve adorer Le Très-Haut,  ","annonce qu’il pourrait s’agir de bienfaits et joie.",
"141","A","Adoration ","Se voir en rêve adorer un arbre,  ","annonce qu’il pourrait adopter la religion des Sabéens. Il pourrait aussi fréquenter ou être au service d’un homme glorieux mais dont la foi est faible.",
"142","A","Adoration ","Se voir en rêve adorer une idole en fer,  ","annonce qu’il négligerait la religion et se préoccuperait uniquement des affaires de ce monde.",
"143","A","Adoration ","Se voir en rêve adorer une idole en bois,  ","annonce qu’il pourrait négliger la foi ou y recourir seulement pour réaliser des affaires de ce monde. Ce rêve figure aussi qu’il pourrait fréquenter un gouvernant injuste ou un homme hypocrite.",
"144","A","Adoration ","Se voir en rêve adorer une idole en or,  ","annonce qu’il pourrait fréquenter un homme encourant la colère du Très-Haut et cette fréquentation risquerait de lui causer un mal. Ce rêve figure aussi perte de fortune et affaiblissement de la foi.",
"145","A","Adoration ","Se voir en rêve adorer une idole en plomb,  ","annonce qu’il négligerait la religion et se préoccuperait uniquement des affaires de ce monde.",
"146","A","Adoration ","Se voir en rêve adorer une idole en cuivre jaune,  ","annonce qu’il négligerait la religion et se préoccuperait uniquement des affaires de ce monde.",
"147","A","Adoration ","Se voir en rêve adorer une idole en argent,  ","annonce qu’il pourrait être amené à contacter une femme ou servante d’une manière illicite et commettre une turpitude.",
"148","A","Adoration ","Se voir en rêve adorer autre que Le Très-Haut,  ","annonce qu’il pourrait s’agir de perte et déboire ou bien qu’il serait préoccupé par ses passions négligent la foi et la satisfaction du Très-Haut.",
"149","A","Adoration ","Se voir en rêve adorer un feu sans flammes,  ","annonce qu’il pourrait exploiter sa foi pour des disposer de choses illicites.",
"150","A","Adoration ","Se voir en rêve adorer une étoile,  ","annonce qu’il pourrait adopter la religion des Sabéens. Il pourrait aussi fréquenter ou être au service d’un homme glorieux mais dont la foi est faible.",
"151","A","Adulation ","Se voir en rêve adulant une personne pour profiter de son savoir,  ","annonce qu’il pourrait s’agir d’honneur, bon état de la foi ainsi que la réalisation des désirs.",
"152","A","Adulation ","Se voir en rêve adulant une personne afin d’obtenir son appui pour accomplir de bons actes,  ","annonce qu’il pourrait s’agir d’honneur, bon état de la foi ainsi que la réalisation des désirs.",
"153","A","Adulation  ","Se voir en rêve adulant une personne pour des choses de ce monde,  ","annonce qu’il pourrait s’agir d’un rêve non louable.",
"154","A","Agacement des dents ","Voir en rêve que ses dents sont agacées par un acide,  ","annonce  qu’il pourrait être déçu par des proches. ",
